f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,label
0.0,0.0,0.0,0.2762248,-0.27268845,-0.057839308,0.4389774,-0.73134553,-0.069725096,0.48942992,-1.0730554,-0.09127255,0.5272974,-1.3211329,-0.08533052,0.26096967,-1.0230715,0.0056303395,0.38068998,-1.2941893,-0.113712125,0.39908874,-0.9537041,-0.14387041,0.34019315,-0.8637132,-0.14585662,0.07321064,-0.99707747,-0.02183333,0.21746302,-1.2230228,-0.1433887,0.23807126,-0.8206082,-0.1378734,0.14452927,-0.78730637,-0.10929543,-0.11563515,-0.9373453,-0.07308308,0.031746775,-1.141077,-0.22189304,0.06525575,-0.76029456,-0.15420592,-0.031067641,-0.69929785,-0.075916246,-0.3183119,-0.861119,-0.1264767,-0.1750017,-1.0788085,-0.2097132,-0.1214437,-0.8244021,-0.13672632,-0.19210765,-0.7258771,-0.061866995,A
0.0,0.0,0.0,0.28274697,-0.2927092,-0.06395429,0.4378259,-0.7265996,-0.07850043,0.4851465,-1.0642896,-0.104976445,0.48441744,-1.3261929,-0.105929375,0.2554997,-1.0151094,0.028177261,0.38549477,-1.263686,-0.093516566,0.3970053,-0.93924564,-0.13333866,0.33227575,-0.83832574,-0.14036104,0.07011926,-0.9975349,0.002726573,0.21901287,-1.2083055,-0.12491277,0.23422906,-0.81282717,-0.13057956,0.14493641,-0.75753844,-0.10539424,-0.11955826,-0.94630575,-0.048846453,0.031158734,-1.1315544,-0.20688933,0.058860805,-0.7552912,-0.14888708,-0.03608084,-0.6759849,-0.071334444,-0.32578695,-0.87154794,-0.103154354,-0.17534949,-1.0797244,-0.1934343,-0.12676425,-0.82604104,-0.12419072,-0.1996926,-0.7181098,-0.04841995,A
0.0,0.0,0.0,0.2575692,-0.3096932,-0.05639241,0.41037065,-0.7271177,-0.07493271,0.45539403,-1.0335897,-0.10493385,0.45035997,-1.2684852,-0.11497819,0.1984285,-1.0217558,0.026475517,0.3452882,-1.2087048,-0.08517602,0.3516293,-0.9043181,-0.13736908,0.2840654,-0.82822245,-0.15746218,0.02855397,-0.9995894,0.0023536528,0.18138805,-1.1541322,-0.1029647,0.2022014,-0.80435973,-0.115266666,0.11970572,-0.7618642,-0.1031091,-0.14081913,-0.9371488,-0.044008538,0.00037725476,-1.09875,-0.16964437,0.04521274,-0.7655971,-0.11652215,-0.035005458,-0.68549174,-0.052305557,-0.32221466,-0.8459926,-0.0938758,-0.18841676,-1.0416282,-0.16271378,-0.12736563,-0.82031035,-0.09452724,-0.18103519,-0.71389276,-0.023818651,A
0.0,0.0,0.0,0.30377734,-0.3120056,-0.036900137,0.4902741,-0.7580548,-0.03701005,0.54681647,-1.0966868,-0.054236155,0.6238895,-1.338548,-0.051328275,0.30607274,-1.0093083,0.06552574,0.39620385,-1.2658015,-0.048023965,0.40054432,-0.95940363,-0.09163463,0.36214077,-0.8426406,-0.0984135,0.11452631,-0.99279755,0.035165668,0.21976244,-1.1992006,-0.082189694,0.23233482,-0.8438629,-0.09203286,0.17655773,-0.7586911,-0.06645604,-0.080954574,-0.9354483,-0.019698465,0.026479278,-1.1052431,-0.16065551,0.056037374,-0.7502887,-0.10651671,0.005639856,-0.64852256,-0.02987872,-0.29056013,-0.84991276,-0.07544155,-0.18286029,-1.0617326,-0.14489365,-0.13627236,-0.8050857,-0.07145945,-0.17208754,-0.6795651,0.007672704,A
0.0,0.0,0.0,0.32293442,-0.29695413,-0.035490714,0.50475824,-0.748262,-0.03364102,0.56556934,-1.089747,-0.049328543,0.62781173,-1.3305261,-0.046712164,0.33793882,-1.0092044,0.04488738,0.41896877,-1.2654707,-0.06764724,0.42221618,-0.9516688,-0.109616004,0.38769466,-0.8313683,-0.11719348,0.14051615,-0.9899999,0.012467474,0.2309735,-1.1947051,-0.10408065,0.24605261,-0.82356024,-0.113881685,0.19641493,-0.73450464,-0.09188765,-0.057871822,-0.93537176,-0.042116247,0.031918135,-1.0981481,-0.18410394,0.06529161,-0.73134714,-0.12913156,0.021387948,-0.62421685,-0.054142304,-0.27464986,-0.8616588,-0.09718085,-0.1779214,-1.0618805,-0.17173764,-0.12890029,-0.80017626,-0.098587,-0.16118601,-0.67140543,-0.020141168,A
0.0,0.0,0.0,0.33748135,-0.25179207,-0.020978574,0.56288755,-0.63757014,-0.021657886,0.6525364,-0.9732312,-0.046153244,0.76245147,-1.1819279,-0.05314148,0.442589,-0.9522552,0.08353776,0.5187725,-1.2174847,-0.034740545,0.4979294,-0.9228096,-0.08312478,0.46614102,-0.8027289,-0.08923199,0.25070322,-0.9669588,0.046243582,0.33540258,-1.1747772,-0.06950938,0.31695712,-0.81491756,-0.07912215,0.26837713,-0.73616654,-0.05248016,0.05410295,-0.94502074,-0.014989125,0.14706397,-1.1142784,-0.15389158,0.14384735,-0.7514435,-0.09654614,0.09498923,-0.6499202,-0.016555307,-0.16207291,-0.89980406,-0.07606118,-0.07657107,-1.1142129,-0.13799556,-0.047797833,-0.8403595,-0.05728484,-0.07474873,-0.70015186,0.027880497,A
0.0,0.0,0.0,0.35919788,-0.23404643,-0.029874198,0.5945647,-0.6289878,-0.034187414,0.70264536,-0.9626842,-0.05737782,0.8344068,-1.1522582,-0.06214759,0.46755648,-0.93271923,0.044584267,0.57245094,-1.2320552,-0.07075092,0.5473978,-0.92274123,-0.12247047,0.5007366,-0.784136,-0.13667142,0.27343035,-0.9618515,0.008805621,0.37275997,-1.2307113,-0.10393158,0.3456905,-0.861585,-0.11577806,0.2874931,-0.7504708,-0.096357256,0.06818814,-0.952542,-0.048290253,0.16906181,-1.1518834,-0.17986947,0.16545124,-0.7944703,-0.12417519,0.11746658,-0.6769759,-0.04983295,-0.16078787,-0.9246948,-0.10671387,-0.071887,-1.1468424,-0.17111738,-0.025302906,-0.89532095,-0.097738944,-0.036932334,-0.75024205,-0.021591282,A
0.0,0.0,0.0,0.36832726,-0.191919,-0.043189716,0.6299192,-0.5542224,-0.05084822,0.7529448,-0.90537554,-0.073969655,0.87373227,-1.1151534,-0.0753711,0.5170497,-0.9035167,0.044280656,0.61001647,-1.2240337,-0.07611499,0.5594717,-0.90635175,-0.12627526,0.51791084,-0.76154256,-0.13660556,0.31616965,-0.9485501,0.017014094,0.39436695,-1.2136201,-0.09740954,0.34851632,-0.83992,-0.10540011,0.30504343,-0.75163746,-0.081815034,0.11208468,-0.95071167,-0.03379951,0.19467142,-1.1601704,-0.16363226,0.17316318,-0.8003788,-0.09779204,0.13491665,-0.70670736,-0.017838929,-0.11188341,-0.9325177,-0.08782984,-0.034692135,-1.1550351,-0.14611976,-0.014441269,-0.8923429,-0.06435166,-0.03282869,-0.75802076,0.017867403,A
0.0,0.0,0.0,0.37312385,-0.19732858,-0.045084167,0.64376813,-0.550398,-0.049003914,0.7647133,-0.89989614,-0.06873456,0.87805164,-1.1289229,-0.067139015,0.53927433,-0.89539915,0.054391704,0.62872887,-1.2332951,-0.069157265,0.5797509,-0.9399454,-0.12554644,0.5388092,-0.7724111,-0.13558903,0.33679923,-0.94106466,0.031040736,0.41364422,-1.2302896,-0.08788378,0.36112893,-0.86990696,-0.104057126,0.31551042,-0.7376642,-0.081351586,0.1321536,-0.95194215,-0.016883422,0.2094323,-1.1777561,-0.14769349,0.17630066,-0.8265046,-0.090608746,0.13620657,-0.6968698,-0.011979947,-0.090874195,-0.94430214,-0.0683873,-0.010559019,-1.16959,-0.12557241,-0.007550714,-0.9182834,-0.049257867,-0.037101667,-0.78042316,0.03131218,A
0.0,0.0,0.0,0.35412845,-0.1918311,-0.05635472,0.6249886,-0.54430455,-0.068651564,0.7524712,-0.8874122,-0.09434297,0.8479922,-1.1331065,-0.10029211,0.5369558,-0.8987145,0.022257583,0.6145987,-1.2462764,-0.11871514,0.5657446,-0.9705577,-0.18585157,0.5273364,-0.7766132,-0.19832397,0.32885975,-0.94437426,0.0029411544,0.39395344,-1.2348826,-0.13168262,0.33754233,-0.87865835,-0.15037215,0.30145764,-0.71144986,-0.12589388,0.12088144,-0.9604927,-0.041687977,0.18412007,-1.1704831,-0.18692671,0.1482971,-0.81694734,-0.13274361,0.118541084,-0.6543751,-0.051186863,-0.10022741,-0.9571886,-0.090824015,-0.029881386,-1.1716496,-0.16213591,-0.030593885,-0.9112051,-0.09086231,-0.050788987,-0.75160277,-0.009580883,A
